sim rep samples read_depth fst_13 fst_23 ne_pop2 acc_pop32 acc_pop2 z_ind pop runtime_ref_z runtime_z
14 1 10 5 0.02332 0.00974 7.283155 1 1 -0.2694237 pop2 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 0.7278736 pop2 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 0.8095438 pop2 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 -0.1315500 pop2 50 25
14 1 10 5 0.02332 0.00974 7.283155 1 1 0.1671080 pop2 50 25
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -12.1496651 pop3 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -6.2758145 pop3 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -11.8810722 pop3 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -12.4300501 pop3 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -10.5332458 pop3 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -10.3149864 pop3 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -12.5025467 pop3 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -5.7731668 pop3 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -11.9297386 pop3 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -12.1245147 pop3 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -0.3534714 pop2 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -1.2938857 pop2 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -0.6022747 pop2 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 1.0867493 pop2 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -0.9327984 pop2 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 1.5086104 pop2 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -1.1160675 pop2 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -1.1266915 pop2 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -0.2800151 pop2 41 20
1 1 10 1 0.57985 0.35561 1.9714993 1 1 -0.1899194 pop2 41 20
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -16.0981603 pop3 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -12.6821535 pop3 48 23
2 1 10 5 0.56429 0.39712 5.1747017 1 1 -17.1104548 pop3 48 23
