sim rep samples_pop1 samples_pop2 read_depth fst ne_pop1 acc_pop1 ne_pop2 acc_pop2
16 5 50 100 1 0.02152 16.26127 1 35.682194 1
59 3 10 50 5 0.00737 7.059966 0.3 42.80502 1
60 3 10 50 10 0.01083 7.7739964 1 48.493694 1
83 1 10 10 5 0.00672 7.296124 0.9 7.265349 1
82 1 10 10 1 0.00588 2.3791006 0.8 2.3942726 0.9
53 2 100 100 5 0.01216 85.09003 1 84.97352 0.99
71 1 50 100 5 0.00631 42.09407 0.92 85.64685 0.99
73 1 100 10 1 0.00612 36.306976 1 2.3647506 0
64 3 50 10 1 0.00969 17.676134 1 2.3036718 0.2
45 3 50 100 10 0.01003 47.389355 0.98 96.93418 1
9 5 10 100 10 0.02159 7.1478486 1 97.04601 1
24 5 100 50 10 0.0219 96.63153 1 45.543564 1
54 2 100 100 10 0.01093 96.67557 0.98 96.47305 0.99
67 2 50 50 1 0.00792 17.388527 0.98 17.386742 0.96
74 1 100 10 5 0.00614 85.68927 1 6.9044213 0
75 1 100 10 10 0.00619 97.04679 1 8.010574 0.1
62 2 10 100 5 0.00983 6.7960625 0.3 85.75578 1
66 3 50 10 10 0.00853 48.491264 0.96 7.979388 0.8
70 1 50 100 1 0.00737 17.067556 0.94 36.111404 1
84 1 10 10 10 0.00966 8.279407 1 8.353476 1
76 1 100 50 1 0.0101 36.138355 1 16.948788 0.96
23 5 100 50 5 0.0203 85.2969 0.99 40.12181 1
77 1 100 50 5 0.00879 85.64052 0.98 41.84348 1
65 3 50 10 5 0.00683 42.802536 1 7.0128117 0.3
44 4 50 100 5 0.0115 41.200504 1 85.55324 1
58 4 10 50 1 0.0065 2.355904 0 17.722763 1
49 3 100 50 1 0.01086 36.01915 1 16.82455 0.98
47 4 100 10 5 0.01245 85.72325 1 6.692869 0.6
25 4 100 100 1 0.01929 34.988575 1 35.04339 1
68 2 50 50 5 0.00946 42.348206 0.98 42.234615 0.98
78 1 100 50 10 0.00808 97.01647 0.99 47.954414 0.94
83 2 10 10 5 0.0077 7.375535 0.9 7.211134 1
82 2 10 10 1 0.00581 2.3320863 0.9 2.3651938 0.9
69 2 50 50 10 0.00924 48.156284 1 48.11423 1
72 1 50 100 10 0.00725 47.872646 0.96 96.99526 0.96
18 5 50 100 10 0.02058 46.18589 0.98 96.77708 1
46 4 100 10 1 0.01382 36.2758 1 2.26902 0.1
63 2 10 100 10 0.00964 7.8283596 0.5 97.03749 1
