sim rep samples read_depth fst ne_pop1 acc_pop1 ne_pop2 acc_pop2 runtime runtime_full maf snps
16 4 100 5 0.09975 74.02827 1 73.61943 1 6 59 filtered 100000
15 5 100 1 0.10978 23.690405 1 24.646578 1 5 53 raw 100000
29 4 10 10 0.01875 7.801385 1 7.795111 1 1 1 raw 100000
31 1 50 0.1 0.01991 0.8880802 0.96 0.88092077 0.96 4 104 raw 100000
30 3 10 50 0.02497 8.003601 1 7.9904356 1 1 1 raw 100000
29 4 10 10 0.01875 8.036392 1 8.043335 1 1 1 filtered 100000
30 3 10 50 0.02497 8.205168 1 8.007124 1 1 1 filtered 100000
32 1 50 0.5 0.01863 6.5379314 1 6.5938287 1 4 86 raw 100000
13 4 100 0.1 0.10167 2.0347564 1 1.9991812 1 6 203 raw 100000
29 5 10 10 0.02198 7.754359 1 7.740955 1 1 1 raw 100000
29 5 10 10 0.02198 8.008299 1 7.9613104 1 1 1 filtered 100000
18 5 100 50 0.11757 73.66034 1 72.18575 1 3 21 raw 100000
30 4 10 50 0.01976 8.044551 1 8.015672 1 1 1 raw 100000
14 4 100 0.5 0.11011 12.86429 1 12.826512 1 6 169 raw 100000
15 5 100 1 0.10978 30.378412 1 31.09358 1 6 50 filtered 100000
30 4 10 50 0.01976 8.189456 1 8.235184 1 1 1 filtered 100000
31 1 50 0.1 0.01991 1.2216784 0.96 1.2306153 0.98 4 105 filtered 100000
33 1 50 1 0.0197 12.965442 1 12.970821 1 3 12 raw 100000
34 1 50 5 0.01657 33.85951 1 33.576046 0.98 4 6 raw 100000
32 1 50 0.5 0.01863 8.879692 1 8.915819 1 5 85 filtered 100000
30 5 10 50 0.02137 8.117871 1 7.95338 1 1 1 raw 100000
30 5 10 50 0.02137 8.215784 1 8.214097 1 1 1 filtered 100000
33 1 50 1 0.0197 16.839935 1 16.852093 1 2 12 filtered 100000
34 1 50 5 0.01657 41.728592 1 41.67516 0.98 3 8 filtered 100000
18 5 100 50 0.11757 86.89026 1 86.73227 1 3 21 filtered 100000
35 1 50 10 0.01984 38.81164 1 39.413994 1 2 9 raw 100000
16 5 100 5 0.10409 59.2592 1 60.85227 1 5 64 raw 100000
13 4 100 0.1 0.10167 2.9336066 1 2.9372737 1 6 202 filtered 100000
35 1 50 10 0.01984 47.20637 1 47.32847 1 2 8 filtered 100000
31 2 50 0.1 0.02061 0.88002604 0.96 0.884933 1 4 105 raw 100000
14 4 100 0.5 0.11011 16.93329 1 17.02815 1 6 169 filtered 100000
33 2 50 1 0.01893 12.962934 0.98 13.073206 0.98 2 12 raw 100000
32 2 50 0.5 0.01946 6.4904013 1 6.5700006 1 5 85 raw 100000
34 2 50 5 0.02145 33.85662 1 33.38227 1 3 8 raw 100000
33 2 50 1 0.01893 16.908243 0.98 16.905718 0.98 2 11 filtered 100000
34 2 50 5 0.02145 41.50347 1 41.134136 1 3 5 filtered 100000
16 5 100 5 0.10409 72.81502 1 75.599846 1 5 60 filtered 100000
35 2 50 10 0.0187 39.18964 1 38.692646 1 2 8 raw 100000
31 2 50 0.1 0.02061 1.2155348 0.98 1.2128257 1 4 105 filtered 100000
36 1 50 50 0.0168 40.6692 0.98 41.45675 1 3 6 raw 100000
32 2 50 0.5 0.01946 8.834517 1 8.845042 1 5 85 filtered 100000
35 2 50 10 0.0187 47.06448 1 46.930576 1 3 8 filtered 100000
33 3 50 1 0.01747 13.032475 1 12.975811 1 2 12 raw 100000
36 1 50 50 0.0168 48.953564 1 49.06294 1 2 7 filtered 100000
34 3 50 5 0.01917 33.5553 1 33.350227 1 4 10 raw 100000
33 3 50 1 0.01747 16.91586 1 16.910204 1 2 12 filtered 100000
34 3 50 5 0.01917 41.35942 1 41.224483 1 3 9 filtered 100000
35 3 50 10 0.02071 38.58989 1 39.44325 1 2 9 raw 100000
13 5 100 0.1 0.1095 2.0235465 1 1.9947909 1 6 201 raw 100000
32 3 50 0.5 0.02012 6.590709 1 6.5480523 1 5 85 raw 100000
31 3 50 0.1 0.01807 0.88667804 0.98 0.89220417 0.98 4 103 raw 100000
35 3 50 10 0.02071 46.91151 1 47.13672 1 3 8 filtered 100000
14 5 100 0.5 0.1166 12.831199 1 12.494997 1 6 171 raw 100000
38 1 100 0.5 0.01705 13.887098 1 13.847181 0.99 5 75 raw 100000
36 2 50 50 0.02115 40.385033 1 40.46577 1 3 7 raw 100000
33 4 50 1 0.01991 12.858659 0.98 12.931161 1 2 11 raw 100000
34 4 50 5 0.01996 33.143967 1 33.850998 1 3 7 raw 100000
33 4 50 1 0.01991 16.742382 0.98 16.859673 1 2 11 filtered 100000
23 1 500 10 0.11851 331.09827 0.998 334.61404 1 22 654 raw 100000
36 2 50 50 0.02115 48.46206 1 48.437275 1 2 7 filtered 100000
32 3 50 0.5 0.02012 8.890963 1 8.929656 1 5 85 filtered 100000
